experiment,family,backbone,method,split,seed,alignment_strength,centroid_strength,best_epoch,validation_neural_accuracy,validation_neural_balanced_accuracy,validation_neural_macro_f1,validation_lr_accuracy,validation_lr_balanced_accuracy,validation_lr_macro_f1
linear54-cdan,noncompressive-54D,linear54,cdan,SI1_train_I_D1_val_D2_test_D3plus,4,0.2,0.0,10,0.75,0.8000000000000002,0.7555555555555555,0.8333333333333334,0.8666666666666667,0.8296296296296296
linear54-cdan,noncompressive-54D,linear54,cdan,SI2_train_I_D1_val_D2_3_test_D4plus,0,0.2,0.0,270,0.8076923076923077,0.8333333333333334,0.8010835913312694,1.0,1.0,1.0
linear54-cdan,noncompressive-54D,linear54,cdan,SI2_train_I_D1_val_D2_3_test_D4plus,1,0.2,0.0,390,0.8846153846153846,0.9,0.882010582010582,0.9230769230769232,0.9333333333333332,0.9234817813765184
linear54-cdan,noncompressive-54D,linear54,cdan,SI2_train_I_D1_val_D2_3_test_D4plus,2,0.2,0.0,10,0.8461538461538461,0.8666666666666667,0.84593837535014,0.9230769230769232,0.9333333333333332,0.9234817813765184
linear54-cdan,noncompressive-54D,linear54,cdan,SI2_train_I_D1_val_D2_3_test_D4plus,3,0.2,0.0,10,0.8076923076923077,0.8333333333333334,0.8010835913312694,0.8846153846153846,0.9,0.8745098039215686
linear54-cdan,noncompressive-54D,linear54,cdan,SI2_train_I_D1_val_D2_3_test_D4plus,4,0.2,0.0,10,0.7692307692307693,0.7999999999999999,0.7715399610136452,0.8846153846153846,0.9,0.8897028897028897
linear54-cdan,noncompressive-54D,linear54,cdan,SI3_train_I_D1_2_val_D3_5_test_D6plus,0,0.2,0.0,280,0.925,0.9333333333333332,0.9326599326599326,0.925,0.9333333333333332,0.9326599326599326
linear54-cdan,noncompressive-54D,linear54,cdan,SI3_train_I_D1_2_val_D3_5_test_D6plus,1,0.2,0.0,310,0.95,0.9555555555555556,0.9553571428571428,0.975,0.977777777777778,0.9777530589543938
linear54-cdan,noncompressive-54D,linear54,cdan,SI3_train_I_D1_2_val_D3_5_test_D6plus,2,0.2,0.0,390,0.95,0.9444444444444444,0.9501285541439808,0.95,0.9555555555555556,0.9553571428571428
linear54-cdan,noncompressive-54D,linear54,cdan,SI3_train_I_D1_2_val_D3_5_test_D6plus,3,0.2,0.0,90,0.9,0.9111111111111112,0.9095022624434388,0.95,0.9555555555555556,0.9553571428571428
linear54-cdan,noncompressive-54D,linear54,cdan,SI3_train_I_D1_2_val_D3_5_test_D6plus,4,0.2,0.0,110,0.925,0.9333333333333332,0.9326599326599326,0.95,0.9555555555555556,0.9553571428571428
linear54-cdan,noncompressive-54D,linear54,cdan,SI4_train_I_D1_3_val_D4_5_test_D6plus,0,0.2,0.0,150,0.8461538461538461,0.8666666666666667,0.861111111111111,0.9230769230769232,0.9333333333333332,0.9326599326599326
linear54-cdan,noncompressive-54D,linear54,cdan,SI4_train_I_D1_3_val_D4_5_test_D6plus,1,0.2,0.0,40,0.8846153846153846,0.9,0.8976982097186701,0.8846153846153846,0.9,0.8976982097186701
linear54-cdan,noncompressive-54D,linear54,cdan,SI4_train_I_D1_3_val_D4_5_test_D6plus,2,0.2,0.0,280,0.9615384615384616,0.9666666666666668,0.9665831244778612,0.8846153846153846,0.9,0.8976982097186701
linear54-cdan,noncompressive-54D,linear54,cdan,SI4_train_I_D1_3_val_D4_5_test_D6plus,3,0.2,0.0,10,0.8846153846153846,0.9,0.882010582010582,0.9230769230769232,0.9333333333333332,0.9326599326599326
linear54-cdan,noncompressive-54D,linear54,cdan,SI4_train_I_D1_3_val_D4_5_test_D6plus,4,0.2,0.0,290,0.8846153846153846,0.9,0.8976982097186701,0.9230769230769232,0.9333333333333332,0.9326599326599326
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI1_train_I_D1_val_D2_test_D3plus,0,0.2,0.2,110,0.75,0.7999999999999999,0.7388888888888889,0.75,0.7999999999999999,0.7388888888888889
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI1_train_I_D1_val_D2_test_D3plus,1,0.2,0.2,10,0.8333333333333334,0.8666666666666667,0.8296296296296296,0.9166666666666666,0.9333333333333332,0.8962962962962964
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI1_train_I_D1_val_D2_test_D3plus,2,0.2,0.2,10,0.8333333333333334,0.8666666666666667,0.8196969696969697,0.9166666666666666,0.9333333333333332,0.8962962962962964
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI1_train_I_D1_val_D2_test_D3plus,3,0.2,0.2,10,0.8333333333333334,0.8666666666666667,0.8148148148148149,0.9166666666666666,0.9333333333333332,0.8962962962962964
linear54-c-dann,noncompressive-54D,linear54,c-dann,SI1_train_I_D1_val_D2_test_D3plus,4,0.2,0.2,10,0.75,0.8000000000000002,0.7555555555555555,0.8333333333333334,0.8666666666666667,0.8296296296296296
