split,task,model,partition,random_state,true_label,predicted_label,count,fit_id
PB3_train_period_i_internal_val_test_batch3,three_class_with_air,LDA,test,,acetone,acetone,8,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,air,air,5,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,air,alcohol,1,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,air,acetone,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,alcohol,air,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,alcohol,alcohol,12,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,alcohol,acetone,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,acetone,air,1,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,acetone,alcohol,2,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,train,,acetone,acetone,9,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,air,air,1,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,air,alcohol,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,air,acetone,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,alcohol,air,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,alcohol,alcohol,2,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,alcohol,acetone,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,acetone,air,0,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,acetone,alcohol,1,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,validation,,acetone,acetone,1,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,air,air,11,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,air,alcohol,3,three_class_with_air|LDA|seed=deterministic
PB4_train_period_i_internal_val_test_batch4,three_class_with_air,LDA,test,,air,acetone,0,three_class_with_air|LDA|seed=deterministic
